2022-08-02 05:53:51 status unpacked gpg:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:51 install libncursesw6:amd64 <none> 6.2+20201114-2
2022-08-02 05:53:51 status half-installed libncursesw6:amd64 6.2+20201114-2
2022-08-02 05:53:51 status unpacked libncursesw6:amd64 6.2+20201114-2
2022-08-02 05:53:51 install pinentry-curses:amd64 <none> 1.1.0-4
2022-08-02 05:53:51 status half-installed pinentry-curses:amd64 1.1.0-4
2022-08-02 05:53:51 status unpacked pinentry-curses:amd64 1.1.0-4
2022-08-02 05:53:51 install gpg-agent:amd64 <none> 2.2.27-2+deb11u2
2022-08-02 05:53:51 status half-installed gpg-agent:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:51 status unpacked gpg-agent:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:51 install gpg-wks-client:amd64 <none> 2.2.27-2+deb11u2
2022-08-02 05:53:51 status half-installed gpg-wks-client:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:51 status unpacked gpg-wks-client:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:51 install gpg-wks-server:amd64 <none> 2.2.27-2+deb11u2
2022-08-02 05:53:51 status half-installed gpg-wks-server:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:51 status unpacked gpg-wks-server:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:51 install gpgsm:amd64 <none> 2.2.27-2+deb11u2
2022-08-02 05:53:51 status half-installed gpgsm:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:51 status unpacked gpgsm:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:51 install gnupg:all <none> 2.2.27-2+deb11u2
2022-08-02 05:53:51 status half-installed gnupg:all 2.2.27-2+deb11u2
2022-08-02 05:53:51 status unpacked gnupg:all 2.2.27-2+deb11u2
2022-08-02 05:53:51 startup packages configure
2022-08-02 05:53:51 configure libksba8:amd64 1.5.0-3 <none>
2022-08-02 05:53:51 status unpacked libksba8:amd64 1.5.0-3
2022-08-02 05:53:51 status half-configured libksba8:amd64 1.5.0-3
2022-08-02 05:53:51 status installed libksba8:amd64 1.5.0-3
2022-08-02 05:53:51 configure libpsl5:amd64 0.21.0-1.2 <none>
2022-08-02 05:53:51 status unpacked libpsl5:amd64 0.21.0-1.2
2022-08-02 05:53:51 status half-configured libpsl5:amd64 0.21.0-1.2
2022-08-02 05:53:51 status installed libpsl5:amd64 0.21.0-1.2
2022-08-02 05:53:51 configure wget:amd64 1.21-1+deb11u1 <none>
2022-08-02 05:53:51 status unpacked wget:amd64 1.21-1+deb11u1
2022-08-02 05:53:51 status half-configured wget:amd64 1.21-1+deb11u1
2022-08-02 05:53:51 status installed wget:amd64 1.21-1+deb11u1
2022-08-02 05:53:51 configure libsqlite3-0:amd64 3.34.1-3 <none>
2022-08-02 05:53:51 status unpacked libsqlite3-0:amd64 3.34.1-3
2022-08-02 05:53:51 status half-configured libsqlite3-0:amd64 3.34.1-3
2022-08-02 05:53:51 status installed libsqlite3-0:amd64 3.34.1-3
2022-08-02 05:53:51 configure libnpth0:amd64 1.6-3 <none>
2022-08-02 05:53:51 status unpacked libnpth0:amd64 1.6-3
2022-08-02 05:53:51 status half-configured libnpth0:amd64 1.6-3
2022-08-02 05:53:51 status installed libnpth0:amd64 1.6-3
2022-08-02 05:53:51 configure libassuan0:amd64 2.5.3-7.1 <none>
2022-08-02 05:53:51 status unpacked libassuan0:amd64 2.5.3-7.1
2022-08-02 05:53:51 status half-configured libassuan0:amd64 2.5.3-7.1
2022-08-02 05:53:51 status installed libassuan0:amd64 2.5.3-7.1
2022-08-02 05:53:51 configure libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1 <none>
2022-08-02 05:53:51 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-08-02 05:53:51 status half-configured libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-08-02 05:53:51 status installed libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-08-02 05:53:51 configure gnupg-l10n:all 2.2.27-2+deb11u2 <none>
2022-08-02 05:53:51 status unpacked gnupg-l10n:all 2.2.27-2+deb11u2
2022-08-02 05:53:51 status half-configured gnupg-l10n:all 2.2.27-2+deb11u2
2022-08-02 05:53:51 status installed gnupg-l10n:all 2.2.27-2+deb11u2
2022-08-02 05:53:51 configure libncursesw6:amd64 6.2+20201114-2 <none>
2022-08-02 05:53:51 status unpacked libncursesw6:amd64 6.2+20201114-2
2022-08-02 05:53:51 status half-configured libncursesw6:amd64 6.2+20201114-2
2022-08-02 05:53:51 status installed libncursesw6:amd64 6.2+20201114-2
2022-08-02 05:53:51 configure libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1 <none>
2022-08-02 05:53:51 status unpacked libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-08-02 05:53:51 status half-configured libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-08-02 05:53:51 status installed libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-08-02 05:53:51 configure readline-common:all 8.1-1 <none>
2022-08-02 05:53:51 status unpacked readline-common:all 8.1-1
2022-08-02 05:53:51 status half-configured readline-common:all 8.1-1
2022-08-02 05:53:51 status installed readline-common:all 8.1-1
2022-08-02 05:53:51 configure pinentry-curses:amd64 1.1.0-4 <none>
2022-08-02 05:53:51 status unpacked pinentry-curses:amd64 1.1.0-4
2022-08-02 05:53:51 status half-configured pinentry-curses:amd64 1.1.0-4
2022-08-02 05:53:51 status installed pinentry-curses:amd64 1.1.0-4
2022-08-02 05:53:51 configure libreadline8:amd64 8.1-1 <none>
2022-08-02 05:53:51 status unpacked libreadline8:amd64 8.1-1
2022-08-02 05:53:51 status half-configured libreadline8:amd64 8.1-1
2022-08-02 05:53:51 status installed libreadline8:amd64 8.1-1
2022-08-02 05:53:51 configure libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1 <none>
2022-08-02 05:53:51 status unpacked libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2022-08-02 05:53:51 status half-configured libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2022-08-02 05:53:51 status installed libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2022-08-02 05:53:51 configure gpgconf:amd64 2.2.27-2+deb11u2 <none>
2022-08-02 05:53:51 status unpacked gpgconf:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:51 status half-configured gpgconf:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:51 status installed gpgconf:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:51 configure gpg:amd64 2.2.27-2+deb11u2 <none>
2022-08-02 05:53:51 status unpacked gpg:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:51 status half-configured gpg:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:51 status installed gpg:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:51 configure gnupg-utils:amd64 2.2.27-2+deb11u2 <none>
2022-08-02 05:53:51 status unpacked gnupg-utils:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:51 status half-configured gnupg-utils:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:51 status installed gnupg-utils:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:51 configure gpg-agent:amd64 2.2.27-2+deb11u2 <none>
2022-08-02 05:53:51 status unpacked gpg-agent:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:51 status half-configured gpg-agent:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:52 status installed gpg-agent:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:52 configure gpgsm:amd64 2.2.27-2+deb11u2 <none>
2022-08-02 05:53:52 status unpacked gpgsm:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:52 status half-configured gpgsm:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:52 status installed gpgsm:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:52 configure dirmngr:amd64 2.2.27-2+deb11u2 <none>
2022-08-02 05:53:52 status unpacked dirmngr:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:52 status half-configured dirmngr:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:52 status installed dirmngr:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:52 configure gpg-wks-server:amd64 2.2.27-2+deb11u2 <none>
2022-08-02 05:53:52 status unpacked gpg-wks-server:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:52 status half-configured gpg-wks-server:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:52 status installed gpg-wks-server:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:52 configure gpg-wks-client:amd64 2.2.27-2+deb11u2 <none>
2022-08-02 05:53:52 status unpacked gpg-wks-client:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:52 status half-configured gpg-wks-client:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:52 status installed gpg-wks-client:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:52 configure gnupg:all 2.2.27-2+deb11u2 <none>
2022-08-02 05:53:52 status unpacked gnupg:all 2.2.27-2+deb11u2
2022-08-02 05:53:52 status half-configured gnupg:all 2.2.27-2+deb11u2
2022-08-02 05:53:52 status installed gnupg:all 2.2.27-2+deb11u2
2022-08-02 05:53:52 trigproc libc-bin:amd64 2.31-13+deb11u3 <none>
2022-08-02 05:53:52 status half-configured libc-bin:amd64 2.31-13+deb11u3
2022-08-02 05:53:52 status installed libc-bin:amd64 2.31-13+deb11u3
2022-08-02 05:53:55 startup packages remove
2022-08-02 05:53:55 status installed gnupg:all 2.2.27-2+deb11u2
2022-08-02 05:53:55 remove gnupg:all 2.2.27-2+deb11u2 <none>
2022-08-02 05:53:55 status half-configured gnupg:all 2.2.27-2+deb11u2
2022-08-02 05:53:55 status half-installed gnupg:all 2.2.27-2+deb11u2
2022-08-02 05:53:55 status config-files gnupg:all 2.2.27-2+deb11u2
2022-08-02 05:53:55 status not-installed gnupg:all <none>
2022-08-02 05:53:55 status installed gpg-wks-client:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:55 remove gpg-wks-client:amd64 2.2.27-2+deb11u2 <none>
2022-08-02 05:53:55 status half-configured gpg-wks-client:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:55 status half-installed gpg-wks-client:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:55 status config-files gpg-wks-client:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:55 status not-installed gpg-wks-client:amd64 <none>
2022-08-02 05:53:55 status installed dirmngr:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:55 remove dirmngr:amd64 2.2.27-2+deb11u2 <none>
2022-08-02 05:53:55 status half-configured dirmngr:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:55 status half-installed dirmngr:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:55 status config-files dirmngr:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:56 status installed gnupg-l10n:all 2.2.27-2+deb11u2
2022-08-02 05:53:56 remove gnupg-l10n:all 2.2.27-2+deb11u2 <none>
2022-08-02 05:53:56 status half-configured gnupg-l10n:all 2.2.27-2+deb11u2
2022-08-02 05:53:56 status half-installed gnupg-l10n:all 2.2.27-2+deb11u2
2022-08-02 05:53:56 status config-files gnupg-l10n:all 2.2.27-2+deb11u2
2022-08-02 05:53:56 status not-installed gnupg-l10n:all <none>
2022-08-02 05:53:56 status installed gnupg-utils:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:56 remove gnupg-utils:amd64 2.2.27-2+deb11u2 <none>
2022-08-02 05:53:56 status half-configured gnupg-utils:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:56 status half-installed gnupg-utils:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:56 status config-files gnupg-utils:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:56 status not-installed gnupg-utils:amd64 <none>
2022-08-02 05:53:56 status installed gpg-wks-server:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:56 remove gpg-wks-server:amd64 2.2.27-2+deb11u2 <none>
2022-08-02 05:53:56 status half-configured gpg-wks-server:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:56 status half-installed gpg-wks-server:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:56 status config-files gpg-wks-server:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:56 status not-installed gpg-wks-server:amd64 <none>
2022-08-02 05:53:56 status installed gpg:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:56 remove gpg:amd64 2.2.27-2+deb11u2 <none>
2022-08-02 05:53:56 status half-configured gpg:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:56 status half-installed gpg:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:56 status config-files gpg:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:56 status not-installed gpg:amd64 <none>
2022-08-02 05:53:56 status installed gpg-agent:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:56 remove gpg-agent:amd64 2.2.27-2+deb11u2 <none>
2022-08-02 05:53:56 status half-configured gpg-agent:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:56 status half-installed gpg-agent:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:56 status config-files gpg-agent:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:56 status installed gpgsm:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:56 remove gpgsm:amd64 2.2.27-2+deb11u2 <none>
2022-08-02 05:53:56 status half-configured gpgsm:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:56 status half-installed gpgsm:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:56 status config-files gpgsm:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:56 status not-installed gpgsm:amd64 <none>
2022-08-02 05:53:56 status installed gpgconf:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:56 remove gpgconf:amd64 2.2.27-2+deb11u2 <none>
2022-08-02 05:53:56 status half-configured gpgconf:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:56 status half-installed gpgconf:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:56 status config-files gpgconf:amd64 2.2.27-2+deb11u2
2022-08-02 05:53:56 status not-installed gpgconf:amd64 <none>
2022-08-02 05:53:56 status installed pinentry-curses:amd64 1.1.0-4
2022-08-02 05:53:56 remove pinentry-curses:amd64 1.1.0-4 <none>
2022-08-02 05:53:56 status half-configured pinentry-curses:amd64 1.1.0-4
2022-08-02 05:53:56 status half-installed pinentry-curses:amd64 1.1.0-4
2022-08-02 05:53:56 status config-files pinentry-curses:amd64 1.1.0-4
2022-08-02 05:53:56 status not-installed pinentry-curses:amd64 <none>
2022-08-02 05:53:56 status installed libassuan0:amd64 2.5.3-7.1
2022-08-02 05:53:56 remove libassuan0:amd64 2.5.3-7.1 <none>
2022-08-02 05:53:56 status triggers-pending libc-bin:amd64 2.31-13+deb11u3
2022-08-02 05:53:56 status half-configured libassuan0:amd64 2.5.3-7.1
2022-08-02 05:53:56 status half-installed libassuan0:amd64 2.5.3-7.1
2022-08-02 05:53:56 status config-files libassuan0:amd64 2.5.3-7.1
2022-08-02 05:53:56 status not-installed libassuan0:amd64 <none>
2022-08-02 05:53:56 status installed libksba8:amd64 1.5.0-3
2022-08-02 05:53:56 remove libksba8:amd64 1.5.0-3 <none>
2022-08-02 05:53:56 status half-configured libksba8:amd64 1.5.0-3
2022-08-02 05:53:56 status half-installed libksba8:amd64 1.5.0-3
2022-08-02 05:53:56 status config-files libksba8:amd64 1.5.0-3
2022-08-02 05:53:56 status not-installed libksba8:amd64 <none>
2022-08-02 05:53:56 status installed libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2022-08-02 05:53:56 remove libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1 <none>
2022-08-02 05:53:56 status half-configured libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2022-08-02 05:53:56 status half-installed libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2022-08-02 05:53:56 status config-files libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2022-08-02 05:53:56 status not-installed libldap-2.4-2:amd64 <none>
2022-08-02 05:53:56 status installed libncursesw6:amd64 6.2+20201114-2
2022-08-02 05:53:56 remove libncursesw6:amd64 6.2+20201114-2 <none>
2022-08-02 05:53:56 status half-configured libncursesw6:amd64 6.2+20201114-2
2022-08-02 05:53:56 status half-installed libncursesw6:amd64 6.2+20201114-2
2022-08-02 05:53:56 status config-files libncursesw6:amd64 6.2+20201114-2
2022-08-02 05:53:56 status not-installed libncursesw6:amd64 <none>
2022-08-02 05:53:56 status installed libnpth0:amd64 1.6-3
2022-08-02 05:53:56 remove libnpth0:amd64 1.6-3 <none>
2022-08-02 05:53:56 status half-configured libnpth0:amd64 1.6-3
2022-08-02 05:53:56 status half-installed libnpth0:amd64 1.6-3
2022-08-02 05:53:56 status config-files libnpth0:amd64 1.6-3
2022-08-02 05:53:56 status not-installed libnpth0:amd64 <none>
2022-08-02 05:53:56 status installed wget:amd64 1.21-1+deb11u1
2022-08-02 05:53:56 remove wget:amd64 1.21-1+deb11u1 <none>
2022-08-02 05:53:56 status half-configured wget:amd64 1.21-1+deb11u1
2022-08-02 05:53:56 status half-installed wget:amd64 1.21-1+deb11u1
2022-08-02 05:53:56 status config-files wget:amd64 1.21-1+deb11u1
2022-08-02 05:53:56 status installed libpsl5:amd64 0.21.0-1.2
2022-08-02 05:53:56 remove libpsl5:amd64 0.21.0-1.2 <none>
2022-08-02 05:53:56 status half-configured libpsl5:amd64 0.21.0-1.2
2022-08-02 05:53:56 status half-installed libpsl5:amd64 0.21.0-1.2
2022-08-02 05:53:56 status config-files libpsl5:amd64 0.21.0-1.2
2022-08-02 05:53:56 status not-installed libpsl5:amd64 <none>
2022-08-02 05:53:56 status installed libreadline8:amd64 8.1-1
2022-08-02 05:53:56 remove libreadline8:amd64 8.1-1 <none>
2022-08-02 05:53:56 status half-configured libreadline8:amd64 8.1-1
2022-08-02 05:53:56 status half-installed libreadline8:amd64 8.1-1
2022-08-02 05:53:56 status config-files libreadline8:amd64 8.1-1
2022-08-02 05:53:56 status not-installed libreadline8:amd64 <none>
2022-08-02 05:53:56 status installed libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-08-02 05:53:56 remove libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1 <none>
2022-08-02 05:53:56 status half-configured libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-08-02 05:53:56 status half-installed libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-08-02 05:53:56 status config-files libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2022-08-02 05:53:56 status not-installed libsasl2-2:amd64 <none>
2022-08-02 05:53:56 status installed libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-08-02 05:53:56 remove libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1 <none>
2022-08-02 05:53:56 status half-configured libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-08-02 05:53:56 status half-installed libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-08-02 05:53:56 status config-files libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2022-08-02 05:53:56 status not-installed libsasl2-modules-db:amd64 <none>
2022-08-02 05:53:56 status installed libsqlite3-0:amd64 3.34.1-3
2022-08-02 05:53:56 remove libsqlite3-0:amd64 3.34.1-3 <none>
